תאריך,הגרלה,תלתן,יהלום,לב,עלה
30/06/2025,51194,Q,8,9,10,
30/06/2025,51195,8,9,9,7,
30/06/2025,51196,7,7,10,9,
30/06/2025,51197,Q,Q,7,8,
01/07/2025,51198,7,Q,8,8,
01/07/2025,51199,10,K,8,Q,
01/07/2025,51200,9,A,Q,9,
01/07/2025,51201,K,7,Q,9,
01/07/2025,51202,A,A,8,8,
01/07/2025,51203,9,A,A,Q,
01/07/2025,51204,7,7,9,8,
02/07/2025,51205,9,A,10,9,
02/07/2025,51206,9,8,8,8,
02/07/2025,51207,J,J,J,10,
02/07/2025,51208,K,A,J,7,
02/07/2025,51209,K,7,A,A,
02/07/2025,51210,7,K,7,J,
02/07/2025,51211,10,10,10,10,
03/07/2025,51212,8,Q,7,8,
03/07/2025,51213,J,10,A,9,
03/07/2025,51214,A,Q,Q,10,
03/07/2025,51215,K,8,J,A,
03/07/2025,51216,10,9,Q,7,
03/07/2025,51217,Q,J,10,9,
03/07/2025,51218,9,8,7,10,
04/07/2025,51219,K,10,9,K,
04/07/2025,51220,9,K,K,9,
04/07/2025,51221,9,9,7,9,
05/07/2025,51222,10,7,10,A,
05/07/2025,51223,10,8,K,9,
06/07/2025,51224,K,K,J,J,
06/07/2025,51225,K,A,J,7,
06/07/2025,51226,9,7,8,10,
06/07/2025,51227,K,J,A,9,
06/07/2025,51228,J,J,10,8,
06/07/2025,51229,9,K,J,8,
06/07/2025,51230,8,8,9,J,
07/07/2025,51231,K,8,7,7,
07/07/2025,51232,A,J,J,K,
07/07/2025,51233,Q,J,Q,K,
07/07/2025,51234,K,Q,A,9,
07/07/2025,51235,10,K,K,10,
07/07/2025,51236,7,J,8,J,
07/07/2025,51237,J,K,7,8,
08/07/2025,51238,Q,10,J,7,
08/07/2025,51239,J,7,10,9,
08/07/2025,51240,A,J,Q,9,
08/07/2025,51241,8,K,K,10,
08/07/2025,51242,A,A,K,9,
08/07/2025,51243,9,8,Q,J,
08/07/2025,51244,K,Q,K,8,
09/07/2025,51245,Q,8,A,K,
09/07/2025,51246,9,A,7,9,
09/07/2025,51247,Q,J,K,A,
09/07/2025,51248,K,9,Q,9,
09/07/2025,51249,K,10,J,J,
09/07/2025,51250,A,Q,7,K,
09/07/2025,51251,Q,A,A,10,
10/07/2025,51252,7,10,8,10,
10/07/2025,51253,A,7,10,Q,
10/07/2025,51254,9,K,K,K,
10/07/2025,51255,A,K,K,J,
10/07/2025,51256,J,Q,A,A,
10/07/2025,51257,8,Q,A,8,
10/07/2025,51258,7,A,A,10,
11/07/2025,51259,7,Q,10,J,
11/07/2025,51260,7,8,9,J,
11/07/2025,51261,8,9,8,8,
12/07/2025,51262,10,7,J,7,
12/07/2025,51263,Q,J,8,J,
13/07/2025,51264,10,J,9,A,
13/07/2025,51265,9,7,8,J,
13/07/2025,51266,K,A,8,Q,
13/07/2025,51267,10,J,A,9,
13/07/2025,51268,9,8,10,J,
13/07/2025,51269,8,A,Q,J,
13/07/2025,51270,A,7,J,K,
14/07/2025,51271,9,9,7,A,
14/07/2025,51272,K,7,J,7,
14/07/2025,51273,Q,A,9,9,
14/07/2025,51274,K,7,8,J,
14/07/2025,51275,Q,J,9,7,
14/07/2025,51276,A,A,Q,K,
14/07/2025,51277,J,Q,10,A,
15/07/2025,51278,J,9,J,7,
15/07/2025,51279,9,9,Q,10,
15/07/2025,51280,8,9,10,A,
15/07/2025,51281,K,10,A,Q,
15/07/2025,51282,K,8,9,10,
15/07/2025,51283,9,J,Q,K,
15/07/2025,51284,K,A,A,10,
16/07/2025,51285,10,Q,10,K,
16/07/2025,51286,10,J,J,8,
16/07/2025,51287,Q,9,8,K,
16/07/2025,51288,8,8,8,9,
16/07/2025,51289,8,9,Q,A,
16/07/2025,51290,10,10,10,8,
16/07/2025,51291,J,8,K,J,
17/07/2025,51292,K,8,7,9,
17/07/2025,51293,K,K,8,10,
17/07/2025,51294,8,Q,Q,10,
17/07/2025,51295,9,J,8,7,
17/07/2025,51296,8,8,8,9,
17/07/2025,51297,7,8,A,9,
17/07/2025,51298,7,A,J,8,
18/07/2025,51299,9,9,A,Q,
18/07/2025,51300,J,9,8,7,
18/07/2025,51301,9,K,8,Q,
19/07/2025,51302,A,K,Q,7,
19/07/2025,51303,K,J,K,7,
20/07/2025,51304,7,9,K,9,
20/07/2025,51305,7,10,K,10,
20/07/2025,51306,A,9,J,10,
20/07/2025,51307,7,10,A,J,
20/07/2025,51308,7,8,A,10,
20/07/2025,51309,10,J,A,8,
20/07/2025,51310,8,J,K,10,
21/07/2025,51311,K,A,7,10,
21/07/2025,51312,K,J,7,A,
21/07/2025,51313,8,Q,A,8,
21/07/2025,51314,7,10,K,A,
21/07/2025,51315,J,A,10,7,
21/07/2025,51316,K,J,7,10,
21/07/2025,51317,J,9,7,A,
22/07/2025,51318,8,8,Q,8,
22/07/2025,51319,K,K,9,A,
22/07/2025,51320,7,8,Q,10,
22/07/2025,51321,K,8,K,10,
22/07/2025,51322,10,Q,Q,10,
22/07/2025,51323,9,K,9,9,
22/07/2025,51324,9,K,A,J,
23/07/2025,51325,8,8,J,J,
23/07/2025,51326,A,J,A,A,
23/07/2025,51327,7,Q,K,Q,
23/07/2025,51328,8,A,7,10,
23/07/2025,51329,Q,10,10,7,
23/07/2025,51330,9,8,Q,9,
23/07/2025,51331,Q,A,8,Q,
24/07/2025,51332,K,7,J,7,
24/07/2025,51333,Q,10,Q,8,
24/07/2025,51334,9,K,A,J,
24/07/2025,51335,7,A,7,J,
24/07/2025,51336,A,J,J,7,
24/07/2025,51337,8,Q,10,8,
24/07/2025,51338,9,J,K,8,
25/07/2025,51339,8,A,10,Q,
25/07/2025,51340,A,9,J,9,
25/07/2025,51341,Q,8,A,7,
26/07/2025,51342,Q,J,7,9,
26/07/2025,51343,K,8,A,10,
27/07/2025,51344,K,Q,Q,A,
27/07/2025,51345,K,A,7,K,
27/07/2025,51346,K,10,A,Q,
27/07/2025,51347,8,9,9,8,
27/07/2025,51348,8,7,7,A,
27/07/2025,51349,10,8,7,A,
27/07/2025,51350,7,J,J,A,
28/07/2025,51351,8,8,8,K,
28/07/2025,51352,K,Q,K,7,
28/07/2025,51353,K,J,9,10,
28/07/2025,51354,7,Q,A,7,
28/07/2025,51355,10,K,7,Q,
28/07/2025,51356,K,J,J,A,
28/07/2025,51357,J,K,10,Q,
29/07/2025,51358,7,8,J,10,
29/07/2025,51359,7,Q,Q,8,
29/07/2025,51360,K,9,8,9,
29/07/2025,51361,K,9,8,Q,
29/07/2025,51362,8,A,Q,K,
29/07/2025,51363,K,A,10,8,
29/07/2025,51364,K,10,8,10,
30/07/2025,51365,8,K,Q,10,
30/07/2025,51366,9,A,9,9,
30/07/2025,51367,9,J,7,10,
30/07/2025,51368,J,9,K,Q,
30/07/2025,51369,K,K,J,7,
30/07/2025,51370,8,8,A,7,
30/07/2025,51371,8,9,J,A,
31/07/2025,51372,7,10,A,9,
31/07/2025,51373,Q,A,8,9,
31/07/2025,51374,Q,10,Q,10,
31/07/2025,51375,A,9,J,A,
31/07/2025,51376,7,10,J,K,
31/07/2025,51377,9,7,A,10,
31/07/2025,51378,8,Q,9,A,
01/08/2025,51379,7,10,K,J,
01/08/2025,51380,7,J,J,A,
01/08/2025,51381,Q,K,J,A,
03/08/2025,51382,K,J,8,7,
03/08/2025,51383,7,9,A,K,
03/08/2025,51384,A,8,Q,9,
03/08/2025,51385,Q,8,A,7,
03/08/2025,51386,K,A,7,A,
03/08/2025,51387,7,9,9,9,
03/08/2025,51388,10,8,K,7,
04/08/2025,51389,10,10,J,J,
04/08/2025,51390,10,J,9,9,
04/08/2025,51391,A,J,7,10,
04/08/2025,51392,J,Q,Q,10,
04/08/2025,51393,J,A,Q,10,
04/08/2025,51394,9,9,Q,A,
04/08/2025,51395,10,10,8,8,
05/08/2025,51396,Q,J,7,8,
05/08/2025,51397,10,J,J,7,
05/08/2025,51398,9,Q,K,J,
05/08/2025,51399,9,8,A,10,
05/08/2025,51400,7,A,10,10,
05/08/2025,51401,9,10,Q,8,
05/08/2025,51402,10,J,7,Q,
06/08/2025,51403,10,Q,K,J,
06/08/2025,51404,J,8,J,7,
06/08/2025,51405,9,8,J,9,
06/08/2025,51406,7,10,Q,J,
06/08/2025,51407,7,8,K,J,
06/08/2025,51408,7,10,10,J,
06/08/2025,51409,J,J,K,K,
07/08/2025,51410,10,9,8,A,
07/08/2025,51411,9,Q,K,K,
07/08/2025,51412,10,8,Q,Q,
07/08/2025,51413,J,10,8,J,
07/08/2025,51414,Q,10,Q,J,
07/08/2025,51415,9,Q,A,10,
07/08/2025,51416,Q,10,10,10,
08/08/2025,51417,K,9,8,J,
08/08/2025,51418,10,10,A,10,
08/08/2025,51419,7,A,J,A,
09/08/2025,51420,10,9,K,9,
09/08/2025,51421,9,10,10,7,
10/08/2025,51422,10,9,9,Q,
10/08/2025,51423,7,9,Q,Q,
10/08/2025,51424,10,J,10,J,
10/08/2025,51425,8,Q,J,K,
10/08/2025,51426,Q,J,8,9,
10/08/2025,51427,8,Q,K,7,
10/08/2025,51428,Q,9,K,J,
11/08/2025,51429,8,J,J,7,
11/08/2025,51430,Q,10,7,A,
11/08/2025,51431,K,Q,8,8,
11/08/2025,51432,8,8,9,Q,
11/08/2025,51433,A,Q,10,10,
11/08/2025,51434,J,K,8,A,
11/08/2025,51435,J,9,7,9,
12/08/2025,51436,Q,9,A,A,
12/08/2025,51437,7,K,A,8,
12/08/2025,51438,A,9,7,9,
12/08/2025,51439,8,7,10,9,
12/08/2025,51440,7,9,A,Q,
12/08/2025,51441,9,J,9,J,
12/08/2025,51442,A,7,10,9,
13/08/2025,51443,8,10,7,Q,
13/08/2025,51444,7,J,9,8,
13/08/2025,51445,A,9,A,A,
13/08/2025,51446,10,10,Q,7,
13/08/2025,51447,10,9,9,7,
13/08/2025,51448,9,9,K,A,
13/08/2025,51449,10,8,K,7,
14/08/2025,51450,7,A,Q,9,
14/08/2025,51451,7,K,10,9,
14/08/2025,51452,Q,7,K,A,
14/08/2025,51453,9,Q,10,7,
14/08/2025,51454,A,10,K,9,
14/08/2025,51455,7,Q,A,J,
14/08/2025,51456,10,K,8,10,
15/08/2025,51457,7,J,Q,A,
15/08/2025,51458,A,9,J,K,
15/08/2025,51459,9,9,A,9,
16/08/2025,51460,K,8,K,J,
16/08/2025,51461,7,9,8,J,
17/08/2025,51462,Q,J,A,A,
17/08/2025,51463,7,J,8,9,
17/08/2025,51464,8,10,K,J,
17/08/2025,51465,10,A,K,10,
17/08/2025,51466,Q,K,J,10,
17/08/2025,51467,A,J,K,10,
17/08/2025,51468,J,9,8,A,
18/08/2025,51469,10,K,9,9,
18/08/2025,51470,K,J,10,7,
18/08/2025,51471,J,10,8,J,
18/08/2025,51472,A,K,9,K,
18/08/2025,51473,A,J,10,8,
18/08/2025,51474,8,10,8,8,
18/08/2025,51475,J,7,9,A,
19/08/2025,51476,A,Q,10,K,
19/08/2025,51477,A,9,7,9,
19/08/2025,51478,Q,10,8,7,
19/08/2025,51479,7,A,9,K,
19/08/2025,51480,9,9,8,J,
19/08/2025,51481,J,J,J,K,
19/08/2025,51482,J,Q,K,J,
20/08/2025,51483,9,8,9,Q,
20/08/2025,51484,9,K,10,7,
20/08/2025,51485,A,K,K,K,
20/08/2025,51486,7,9,9,J,
20/08/2025,51487,10,8,7,Q,
20/08/2025,51488,8,J,K,K,
20/08/2025,51489,9,Q,9,10,
21/08/2025,51490,9,10,A,8,
21/08/2025,51491,K,A,8,J,
21/08/2025,51492,A,Q,Q,Q,
21/08/2025,51493,J,Q,10,10,
21/08/2025,51494,K,Q,K,A,
21/08/2025,51495,7,9,K,9,
21/08/2025,51496,K,A,8,9,
22/08/2025,51497,7,J,8,A,
22/08/2025,51498,9,J,K,10,
22/08/2025,51499,K,A,10,7,
23/08/2025,51500,Q,10,9,K,
23/08/2025,51501,Q,9,Q,10,
24/08/2025,51502,J,J,9,9,
24/08/2025,51503,J,7,K,10,
24/08/2025,51504,Q,7,A,J,
24/08/2025,51505,7,10,9,J,
24/08/2025,51506,Q,Q,9,A,
24/08/2025,51507,J,Q,Q,7,
24/08/2025,51508,A,7,8,Q,
25/08/2025,51509,7,Q,J,A,
25/08/2025,51510,7,10,7,9,
25/08/2025,51511,10,Q,7,J,
25/08/2025,51512,J,J,J,J,
25/08/2025,51513,J,A,7,9,
25/08/2025,51514,9,8,Q,10,
25/08/2025,51515,A,7,Q,Q,
26/08/2025,51516,J,9,7,A,
26/08/2025,51517,A,Q,9,A,
26/08/2025,51518,8,7,J,8,
26/08/2025,51519,8,9,A,7,
26/08/2025,51520,7,10,A,8,
26/08/2025,51521,8,7,Q,10,
26/08/2025,51522,K,J,Q,9,
27/08/2025,51523,8,K,7,A,
27/08/2025,51524,J,7,Q,Q,
27/08/2025,51525,10,7,10,Q,
27/08/2025,51526,J,J,8,8,
27/08/2025,51527,7,8,A,9,
27/08/2025,51528,7,7,8,Q,
27/08/2025,51529,8,J,A,8,
28/08/2025,51530,J,A,J,9,
28/08/2025,51531,J,9,A,K,
28/08/2025,51532,J,9,J,J,
28/08/2025,51533,K,K,J,J,
28/08/2025,51534,7,10,10,A,
28/08/2025,51535,Q,Q,9,9,
28/08/2025,51536,K,8,10,J,
29/08/2025,51537,K,10,J,J,
29/08/2025,51538,A,9,K,K,
29/08/2025,51539,Q,K,Q,10,
30/08/2025,51540,Q,K,K,K,
30/08/2025,51541,10,8,9,J,
31/08/2025,51542,J,10,7,J,
31/08/2025,51543,Q,A,7,10,
31/08/2025,51544,A,8,10,7,
31/08/2025,51545,K,7,A,9,
31/08/2025,51546,J,10,A,7,
31/08/2025,51547,7,A,K,10,
31/08/2025,51548,A,7,J,7,
01/09/2025,51549,Q,9,9,8,
01/09/2025,51550,J,10,A,J,
01/09/2025,51551,8,9,10,K,
01/09/2025,51552,7,7,J,7,
01/09/2025,51553,A,Q,K,K,
01/09/2025,51554,9,8,Q,J,
01/09/2025,51555,J,7,10,K,
02/09/2025,51556,K,Q,K,7,
02/09/2025,51557,A,7,8,9,
02/09/2025,51558,J,J,7,Q,
02/09/2025,51559,Q,8,A,K,
02/09/2025,51560,8,Q,10,Q,
02/09/2025,51561,K,J,J,A,
02/09/2025,51562,10,10,A,7,
03/09/2025,51563,A,A,9,K,
03/09/2025,51564,Q,J,Q,A,
03/09/2025,51565,J,A,K,A,
03/09/2025,51566,K,7,8,8,
03/09/2025,51567,9,8,10,J,
03/09/2025,51568,7,A,Q,Q,
03/09/2025,51569,Q,7,Q,8,
04/09/2025,51570,10,9,J,J,
04/09/2025,51571,9,K,Q,K,
04/09/2025,51572,7,J,9,8,
04/09/2025,51573,9,10,J,A,
04/09/2025,51574,J,7,8,10,
04/09/2025,51575,7,8,9,Q,
04/09/2025,51576,10,A,10,J,
05/09/2025,51577,J,J,9,Q,
05/09/2025,51578,A,Q,K,9,
05/09/2025,51579,10,Q,J,A,
06/09/2025,51580,7,K,10,7,
06/09/2025,51581,7,8,8,10,
07/09/2025,51582,K,A,K,A,
07/09/2025,51583,J,J,8,10,
07/09/2025,51584,A,J,A,A,
07/09/2025,51585,J,K,10,7,
07/09/2025,51586,8,J,K,J,
07/09/2025,51587,J,9,10,10,
07/09/2025,51588,9,8,A,7,
08/09/2025,51589,Q,J,10,10,
08/09/2025,51590,K,10,K,7,
08/09/2025,51591,9,A,Q,9,
08/09/2025,51592,8,9,J,8,
08/09/2025,51593,7,J,Q,7,
08/09/2025,51594,K,7,A,K,
08/09/2025,51595,8,A,Q,J,
09/09/2025,51596,9,K,7,10,
09/09/2025,51597,7,A,K,8,
09/09/2025,51598,J,8,9,9,
09/09/2025,51599,7,8,J,J,
09/09/2025,51600,7,9,7,Q,
09/09/2025,51601,K,9,A,9,
09/09/2025,51602,7,10,Q,9,
10/09/2025,51603,8,9,J,K,
10/09/2025,51604,10,A,7,K,
10/09/2025,51605,10,8,10,K,
10/09/2025,51606,10,J,A,A,
10/09/2025,51607,A,K,Q,9,
10/09/2025,51608,8,9,Q,Q,
10/09/2025,51609,Q,9,A,8,
11/09/2025,51610,J,K,K,9,
11/09/2025,51611,K,7,J,9,
11/09/2025,51612,A,9,7,9,
11/09/2025,51613,Q,7,10,J,
11/09/2025,51614,9,J,7,K,
11/09/2025,51615,10,9,J,9,
11/09/2025,51616,Q,A,9,7,
12/09/2025,51617,7,K,K,8,
12/09/2025,51618,K,10,K,7,
12/09/2025,51619,K,10,Q,A,
13/09/2025,51620,A,K,K,Q,
13/09/2025,51621,7,9,K,A,
14/09/2025,51622,10,8,10,7,
14/09/2025,51623,9,Q,K,8,
14/09/2025,51624,J,A,A,A,
14/09/2025,51625,9,7,8,Q,
14/09/2025,51626,8,J,10,9,
14/09/2025,51627,7,Q,A,10,
14/09/2025,51628,10,10,Q,J,
15/09/2025,51629,9,A,J,8,
15/09/2025,51630,K,9,A,J,
15/09/2025,51631,K,7,7,A,
15/09/2025,51632,Q,A,9,A,
15/09/2025,51633,A,Q,A,Q,
15/09/2025,51634,A,9,8,10,
15/09/2025,51635,8,10,8,Q,
16/09/2025,51636,9,9,7,J,
16/09/2025,51637,K,Q,9,A,
16/09/2025,51638,10,Q,9,7,
16/09/2025,51639,Q,K,10,9,
16/09/2025,51640,K,9,K,Q,
16/09/2025,51641,Q,7,7,9,
16/09/2025,51642,8,9,K,7,
17/09/2025,51643,7,Q,8,7,
17/09/2025,51644,K,10,9,10,
17/09/2025,51645,9,7,A,8,
17/09/2025,51646,Q,K,Q,7,
17/09/2025,51647,7,J,10,8,
17/09/2025,51648,7,8,8,A,
17/09/2025,51649,9,7,7,K,
18/09/2025,51650,K,Q,9,A,
18/09/2025,51651,8,10,8,Q,
18/09/2025,51652,8,J,9,8,
18/09/2025,51653,K,10,7,A,
18/09/2025,51654,8,8,A,J,
18/09/2025,51655,9,A,8,K,
18/09/2025,51656,J,7,8,A,
19/09/2025,51657,A,9,9,Q,
19/09/2025,51658,7,10,Q,7,
19/09/2025,51659,A,7,10,A,
20/09/2025,51660,A,10,J,J,
20/09/2025,51661,J,Q,K,Q,
21/09/2025,51662,9,9,Q,Q,
21/09/2025,51663,8,A,A,7,
21/09/2025,51664,Q,8,10,7,
21/09/2025,51665,9,9,J,8,
21/09/2025,51666,Q,7,Q,J,
21/09/2025,51667,J,K,J,10,
21/09/2025,51668,Q,A,10,A,
22/09/2025,51669,10,10,J,8,
22/09/2025,51670,J,7,Q,J,
22/09/2025,51671,A,K,7,A,
24/09/2025,51672,J,K,J,K,
25/09/2025,51673,Q,A,Q,J,
25/09/2025,51674,10,K,J,8,
25/09/2025,51675,A,9,9,J,
25/09/2025,51676,K,10,10,A,
25/09/2025,51677,7,A,10,J,
25/09/2025,51678,10,J,8,8,
25/09/2025,51679,Q,A,8,J,
26/09/2025,51680,Q,J,K,J,
26/09/2025,51681,K,8,9,7,
26/09/2025,51682,8,10,Q,K,
27/09/2025,51683,K,8,K,J,
27/09/2025,51684,A,A,9,A,
28/09/2025,51685,7,7,Q,9,
28/09/2025,51686,8,A,10,10,
28/09/2025,51687,8,Q,10,Q,
28/09/2025,51688,Q,10,K,Q,
28/09/2025,51689,K,9,J,8,
28/09/2025,51690,7,10,K,7,
28/09/2025,51691,10,7,10,8,
29/09/2025,51692,A,K,10,J,
29/09/2025,51693,9,J,9,8,
29/09/2025,51694,K,9,J,9,
29/09/2025,51695,Q,J,A,A,
29/09/2025,51696,8,10,K,J,
29/09/2025,51697,10,9,Q,9,
29/09/2025,51698,K,7,10,8,
30/09/2025,51699,9,8,10,K,
30/09/2025,51700,J,9,7,9,
30/09/2025,51701,Q,J,10,8,
30/09/2025,51702,K,7,10,9,
30/09/2025,51703,A,10,J,K,
30/09/2025,51704,K,J,7,K,
30/09/2025,51705,Q,8,7,J,
01/10/2025,51706,7,J,Q,10,
01/10/2025,51707,7,J,9,K,
01/10/2025,51708,Q,Q,J,Q,
02/10/2025,51709,A,8,A,A,
03/10/2025,51710,9,8,Q,10,
03/10/2025,51711,A,A,9,7,
03/10/2025,51712,8,9,J,K,
04/10/2025,51713,K,A,J,10,
04/10/2025,51714,J,K,J,7,
05/10/2025,51715,Q,K,9,A,
05/10/2025,51716,9,9,10,J,
05/10/2025,51717,7,10,K,10,
05/10/2025,51718,J,7,9,A,
05/10/2025,51719,J,J,8,K,
05/10/2025,51720,10,8,A,7,
05/10/2025,51721,A,8,9,A,
06/10/2025,51722,K,9,7,8,
06/10/2025,51723,A,8,9,9,
06/10/2025,51724,Q,10,J,Q,
07/10/2025,51725,K,J,A,J,
08/10/2025,51726,K,9,K,10,
08/10/2025,51727,7,9,Q,K,
08/10/2025,51728,J,Q,A,Q,
08/10/2025,51729,A,7,Q,K,
08/10/2025,51730,9,10,8,10,
08/10/2025,51731,Q,9,9,Q,
08/10/2025,51732,8,7,K,9,
09/10/2025,51733,7,J,10,K,
09/10/2025,51734,Q,Q,K,9,
09/10/2025,51735,J,A,J,7,
09/10/2025,51736,K,7,7,9,
09/10/2025,51737,Q,K,Q,J,
09/10/2025,51738,K,K,A,9,
09/10/2025,51739,7,9,9,J,
10/10/2025,51740,J,A,9,Q,
10/10/2025,51741,7,10,Q,Q,
10/10/2025,51742,A,10,J,7,
11/10/2025,51743,K,A,A,8,
11/10/2025,51744,K,A,8,K,
12/10/2025,51745,7,8,7,10,
12/10/2025,51746,10,A,8,K,
12/10/2025,51747,A,J,7,9,
12/10/2025,51748,9,8,K,8,
12/10/2025,51749,J,9,K,10,
12/10/2025,51750,A,Q,J,J,
12/10/2025,51751,A,J,7,8,
13/10/2025,51752,A,8,J,7,
13/10/2025,51753,10,Q,8,Q,
13/10/2025,51754,Q,8,8,Q,
14/10/2025,51755,7,9,7,K,
15/10/2025,51756,J,8,9,7,
15/10/2025,51757,9,8,7,K,
15/10/2025,51758,K,J,A,J,
15/10/2025,51759,A,A,J,10,
15/10/2025,51760,7,8,K,7,
15/10/2025,51761,7,9,K,A,
15/10/2025,51762,A,8,10,10,
16/10/2025,51763,J,9,9,8,
